 ,Area,Mean,Min,Max
410,91092.013,176.436,97,345
411,91092.013,176.403,96,326
412,91092.013,176.252,100,356
413,91092.013,176.301,101,333
414,91092.013,175.889,93,324
415,91092.013,175.930,99,327
416,91092.013,175.871,100,333
417,91092.013,175.336,95,335
418,91092.013,175.377,97,328
419,91092.013,175.129,92,323
420,91092.013,175.166,103,332
421,91092.013,174.969,98,324
422,91092.013,174.963,103,319
423,91092.013,175.021,97,343
424,91092.013,174.975,91,341
425,91092.013,175.039,100,321
426,91092.013,175.199,101,334
427,91092.013,175.072,96,323
428,91092.013,174.940,100,320
429,91092.013,174.910,94,324
430,91092.013,175.009,96,324
431,91092.013,175.179,99,329
432,91092.013,175.259,98,330
433,91092.013,175.222,104,332
434,91092.013,175.097,97,343
435,91092.013,174.927,96,339
436,91092.013,174.955,95,319
437,91092.013,174.956,103,321
438,91092.013,175.180,99,348
439,91092.013,175.025,94,334
440,91092.013,175.188,99,320
441,91092.013,175.184,100,327
442,91092.013,175.056,91,340
443,91092.013,175.087,100,316
444,91092.013,175.212,100,317
445,91092.013,175.195,102,321
446,91092.013,175.067,89,328
447,91092.013,175.196,93,344
448,91092.013,175.221,95,320
449,91092.013,175.099,98,331
450,91092.013,175.086,98,335
451,91092.013,176.042,96,312
452,91092.013,176.876,102,341
453,91092.013,176.881,101,327
454,91092.013,176.720,99,328
455,91092.013,176.643,101,338
456,91092.013,176.240,98,323
457,91092.013,176.143,96,334
458,91092.013,176.033,98,332
459,91092.013,175.860,100,330
460,91092.013,175.593,94,320
461,91092.013,175.317,103,337
462,91092.013,175.290,101,320
463,91092.013,174.881,100,331
464,91092.013,174.718,98,333
465,91092.013,174.644,97,325
466,91092.013,174.774,99,361
467,91092.013,174.843,95,327
468,91092.013,174.825,95,324
469,91092.013,174.765,102,336
470,91092.013,174.534,97,320
471,91092.013,174.551,103,320
472,91092.013,174.798,98,322
473,91092.013,174.615,103,334
474,91092.013,174.724,99,339
475,91092.013,174.773,93,331
476,91092.013,174.713,99,327
477,91092.013,174.786,100,333
478,91092.013,174.894,89,345
479,91092.013,174.838,97,326
480,91092.013,174.913,104,336
481,91092.013,174.846,100,312
482,91092.013,174.773,97,315
483,91092.013,174.889,98,336
484,91092.013,174.712,94,350
485,91092.013,174.734,101,324
486,91092.013,174.570,98,321
487,91092.013,174.629,98,329
488,91092.013,174.772,101,332
489,91092.013,174.668,104,321
490,91092.013,174.681,104,323
491,91092.013,174.969,98,328
492,91092.013,174.767,96,330
493,91092.013,174.739,100,330
494,91092.013,174.706,102,343
495,91092.013,174.868,104,330
496,91092.013,174.856,95,332
497,91092.013,175.946,100,317
498,91092.013,176.671,97,318
499,91092.013,176.428,99,326
500,91092.013,176.498,96,332
501,91092.013,176.314,100,322
502,91092.013,176.058,105,322
503,91092.013,175.937,91,333
504,91092.013,175.883,102,345
505,91092.013,175.644,105,342
506,91092.013,175.200,97,353
507,91092.013,175.147,101,322
508,91092.013,175.018,105,328
509,91092.013,174.879,97,326
510,91092.013,174.651,96,313
511,91092.013,174.535,101,338
512,91092.013,174.666,97,322
513,91092.013,174.576,102,332
514,91092.013,174.661,96,353
515,91092.013,174.585,102,321
516,91092.013,174.641,93,330
517,91092.013,174.581,104,321
518,91092.013,174.765,99,324
519,91092.013,174.643,103,317
520,91092.013,174.441,97,328
521,91092.013,174.295,103,315
522,91092.013,174.359,97,332
523,91092.013,174.523,98,343
524,91092.013,174.308,93,335
525,91092.013,174.396,99,331
